country,age_1564,age_64up,age_0014
Arab World,62.6616874,4.557876424,32.78043618
Caribbean small states,67.490417,8.796658749,23.71292425
Central Europe and the Baltics,66.40423937,18.4601185,15.13564214
Early-demographic dividend,65.28462357,5.817805684,28.89757075
East Asia & Pacific,69.48809496,10.744358,19.76754704
East Asia & Pacific (excluding high income),70.00494974,9.496237874,20.49881239
East Asia & Pacific (IDA & IBRD countries),69.99925292,9.498247565,20.50249951
Euro area,64.3315955,20.60028759,15.06811691
Europe & Central Asia,65.63605255,16.3488906,18.01505685
Europe & Central Asia (excluding high income),66.91393605,12.0469774,21.03908655
Europe & Central Asia (IDA & IBRD countries),66.94001194,12.57559892,20.48438915
European Union,64.68886333,20.16310017,15.14803651
Fragile and conflict affected situations,55.64120723,3.382472467,40.97632031
Heavily indebted poor countries (HIPC),54.11553089,3.028409238,42.85605987
High income,65.54448938,17.93204393,16.52346669
IBRD only,67.93499434,8.483780139,23.58122552
IDA & IBRD total,65.29225752,7.224820741,27.48292174
IDA blend,57.75720147,3.498860383,38.74393814
IDA only,57.51021929,3.587592591,38.90218812
IDA total,57.59400532,3.557491151,38.84850353
Late-demographic dividend,70.2609934,10.72325299,19.01575361
Latin America & Caribbean,67.00809265,8.438306072,24.55360128
Latin America & Caribbean (excluding high income),66.99239321,8.24270282,24.76490397
Latin America & the Caribbean (IDA & IBRD countries),66.99153305,8.256209237,24.75225772
Least developed countries: UN classification,57.02638841,3.540249106,39.43336248
Low & middle income,65.29075529,7.156651231,27.55259348
Low income,54.81972624,3.291171653,41.88910211
Lower middle income,64.29084934,5.529415473,30.17973519
Middle East & North Africa,64.93157649,5.182161356,29.88626216
Middle East & North Africa (excluding high income),63.51351932,5.375436375,31.11104431
Middle East & North Africa (IDA & IBRD countries),63.58108067,5.40251473,31.0164046
Middle income,66.59199085,7.637014665,25.77099449
North America,65.62722033,15.95257736,18.4202023
Not classified,,,
OECD members,65.05445517,17.11861841,17.82692642
Other small states,64.56829948,5.492465783,29.93923473
Pacific island small states,60.42612785,4.537317377,35.03655477
Post-demographic dividend,64.95424441,18.95451697,16.09123862
Pre-demographic dividend,53.49433526,2.753813638,43.7518511
Small states,64.85053347,6.029569449,29.11989708
South Asia,65.74309191,5.840560482,28.4163476
South Asia (IDA & IBRD),65.74309191,5.840560482,28.4163476
Sub-Saharan Africa,54.47388208,2.987705607,42.53841232
Sub-Saharan Africa (excluding high income),54.47259909,2.987292174,42.54010873
Sub-Saharan Africa (IDA & IBRD countries),54.47388208,2.987705607,42.53841232
Upper middle income,69.21340446,10.0379488,20.74864674
World,65.33118151,8.873442244,25.79537624
Afghanistan,54.32489755,2.58492694,43.09017551
Albania,68.58239036,13.74473591,17.67287372
Algeria,63.48882487,6.362496545,30.14867859
American Samoa,,,
Andorra,,,
Angola,50.97470164,2.216373648,46.80892471
Antigua and Barbuda,69.11908273,8.79982552,22.08109175
Argentina,64.12127729,11.11778888,24.76093384
Armenia,68.11276042,11.25381766,20.63342192
Aruba,68.64660589,13.55094714,17.80244697
Australia,65.15290773,15.65647523,19.19061704
Austria,66.70048591,19.00156646,14.29794763
Azerbaijan,70.43524739,6.195182751,23.36956986
"Bahamas, The",70.25752197,7.257602357,22.48487567
Bahrain,78.319356,2.426333878,19.25431012
Bangladesh,67.13558688,5.15839064,27.70602248
Barbados,66.85435789,15.80269396,17.34294815
Belarus,68.28890878,14.84514817,16.86594305
Belgium,64.1558335,18.78874374,17.05542276
Belize,64.98377585,4.736458777,30.27976537
Benin,54.29871231,3.253605297,42.44768239
Bermuda,,,
Bhutan,68.22563455,6.003011713,25.77135373
Bolivia,61.73450486,7.191947392,31.07354775
Bosnia and Herzegovina,68.76346488,16.47031747,14.76621765
Botswana,61.66317964,4.223874346,34.11294602
Brazil,69.74309026,8.922837832,21.33407191
British Virgin Islands,,,
Brunei Darussalam,72.10039094,4.873147568,23.02646149
Bulgaria,64.38262025,21.02191443,14.59546532
Burkina Faso,52.64493785,2.406980829,44.94808132
Burundi,52.25137879,2.24694046,45.50168075
Cabo Verde,66.6129059,4.609327157,28.77776695
Cambodia,64.22990522,4.568680018,31.20141476
Cameroon,54.6395428,2.728877355,42.63157984
Canada,66.89774245,17.23200668,15.87025087
Cayman Islands,,,
Central African Republic,52.87990574,2.825773707,44.29432055
Chad,50.39318107,2.480518944,47.12629999
Channel Islands,67.51417897,17.29746216,15.18835888
Chile,68.71629587,11.52980166,19.75390247
China,71.20211371,10.92088354,17.87700275
Colombia,68.444057,8.47804702,23.07789598
Comoros,57.45456686,3.007009306,39.53842383
"Congo, Dem. Rep.",50.81651729,3.017840622,46.16564209
"Congo, Rep.",55.554778,2.681719539,41.76350246
Costa Rica,69.12540822,9.549847673,21.32474411
Cote d'Ivoire,55.20408485,2.858943015,41.93697214
Croatia,65.04262698,20.44543301,14.51194001
Cuba,68.60254959,15.18621142,16.21123899
Curacao,64.43115906,16.68489481,18.88394613
Cyprus,69.49309027,13.71906177,16.78784796
Czech Republic,64.99251759,19.42087689,15.58660552
Denmark,63.7287848,19.81295264,16.45826256
Djibouti,65.89830466,4.527579378,29.57411596
Dominica,,,
Dominican Republic,64.94005302,7.082817476,27.9771295
Ecuador,64.81411827,7.157289727,28.028592
"Egypt, Arab Rep.",60.97149994,5.229779346,33.79872071
El Salvador,64.58082908,8.287090005,27.13208091
Equatorial Guinea,60.42552379,2.457877347,37.11659887
Eritrea,,,
Estonia,64.01656941,19.62635685,16.35707375
Eswatini,57.87292052,4.014587941,38.11249154
Ethiopia,55.7158851,3.501132998,40.78298191
Faroe Islands,,,
Fiji,65.03769739,5.449680413,29.5126222
Finland,62.13402948,21.72078755,16.14518297
France,62.00891081,20.03462475,17.95646444
French Polynesia,68.94759777,8.290508105,22.76189413
Gabon,59.41022284,3.563907468,37.0258697
"Gambia, The",53.141274,2.589980939,44.26874506
Georgia,65.33926797,14.86549143,19.7952406
Germany,64.9170079,21.461962,13.6210301
Ghana,59.33504041,3.068898007,37.59606159
