country,air_polution
Arab World,58.6892586001699
Caribbean small states,19.0098301339144
Central Europe and the Baltics,17.6333281162193
Early-demographic dividend,60.3592904453642
East Asia & Pacific,39.7499575389656
East Asia & Pacific (excluding high income),42.5394679440716
East Asia & Pacific (IDA & IBRD countries),42.6714052908125
Euro area,12.5251111465232
Europe & Central Asia,18.0819559709168
Europe & Central Asia (excluding high income),24.4339392656414
Europe & Central Asia (IDA & IBRD countries),24.0786929912134
European Union,13.4660993416925
Fragile and conflict affected situations,42.2173151155919
Heavily indebted poor countries (HIPC),40.6850390030708
High income,14.6829308477401
IBRD only,52.0453531755818
IDA & IBRD total,51.1682905129037
IDA blend,56.796241418714
IDA only,44.3366254311267
IDA total,48.5727388006497
Late-demographic dividend,40.0002068345315
Latin America & Caribbean,16.7180327088345
Latin America & Caribbean (excluding high income),16.6910095696034
Latin America & the Caribbean (IDA & IBRD countries),16.7060343988845
Least developed countries: UN classification,45.2686646335719
Low & middle income,51.3696386906645
Low income,43.216660663214
Lower middle income,64.3985789376799
Middle East & North Africa,55.6693262008546
Middle East & North Africa (excluding high income),53.8577625376184
Middle East & North Africa (IDA & IBRD countries),54.1047770874218
Middle income,52.3624606798558
North America,7.3110936632647
Not classified,
OECD members,14.4556354696029
Other small states,34.7544283494956
Pacific island small states,11.2676413975279
Post-demographic dividend,11.5937622894589
Pre-demographic dividend,48.6378911456843
Small states,30.4722461094832
South Asia,82.8695212378387
South Asia (IDA & IBRD),82.8695212378387
Sub-Saharan Africa,44.6020959071314
Sub-Saharan Africa (excluding high income),44.6043324023385
Sub-Saharan Africa (IDA & IBRD countries),44.6020959071314
Upper middle income,38.7482854406972
World,45.5218590738247
Afghanistan,56.9108083545081
Albania,18.2006025215914
Algeria,38.8840106983002
American Samoa,12.4738202417443
Andorra,10.3076213949548
Angola,32.3885049076425
Antigua and Barbuda,18.6223428464755
Argentina,13.311833946835
Armenia,32.5281183420597
Aruba,
Australia,8.55032440147794
Austria,12.4779667308248
Azerbaijan,19.9286636166698
"Bahamas, The",17.3677204858567
Bahrain,70.8162076823101
Bangladesh,60.8457845768598
Barbados,23.0801758047572
Belarus,18.7655799063811
Belgium,12.8865184713072
Belize,23.0118921090113
Benin,38.9999587632257
Bermuda,11.646359194991
Bhutan,37.926503204094
Bolivia,21.5689865956858
Bosnia and Herzegovina,27.7476689647337
Botswana,23.094386181065
Brazil,12.7066294740724
British Virgin Islands,
Brunei Darussalam,5.90306546792381
Bulgaria,19.1491323370921
Burkina Faso,42.9355925055958
Burundi,38.8962679482295
Cabo Verde,34.7787001010668
Cambodia,25.6142918675755
Cameroon,72.7930962237353
Canada,6.42838313258525
Cayman Islands,
Central African Republic,56.8284973827312
Chad,66.0292054967769
Channel Islands,
Chile,21.0362990619754
China,52.6645958291981
Colombia,16.5272102219124
Comoros,20.5468245996681
"Congo, Dem. Rep.",44.9092635986842
"Congo, Rep.",46.6382202758892
Costa Rica,15.7259203021082
Cote d'Ivoire,25.8862663364222
Croatia,17.9017722884016
Cuba,19.7060474004201
Curacao,
Cyprus,17.2944061994662
Czech Republic,16.0712453523646
Denmark,10.0296534385694
Djibouti,45.5496175977411
Dominica,19.4931537608634
Dominican Republic,13.726321150433
Ecuador,14.8861006610676
"Egypt, Arab Rep.",86.9994520503272
El Salvador,24.4722922946922
Equatorial Guinea,53.2406210371101
Eritrea,48.0301986806015
Estonia,6.73212401545877
Eswatini,17.1687873115117
Ethiopia,38.9787377576037
Faroe Islands,
Fiji,10.8401599042944
Finland,5.86133100081928
France,11.8149636162893
French Polynesia,
Gabon,44.3855484644179
"Gambia, The",33.9826385538147
Georgia,22.1960546181194
Germany,12.028767360745
Ghana,34.713514102152
Gibraltar,
Greece,16.2182663806558
Greenland,11.6021794589767
Grenada,22.722687475907
Guam,11.6344068102394
Guatemala,24.0706489340746
Guinea,26.062490198745
Guinea-Bissau,29.774702280636
Guyana,22.3755746295002
Haiti,15.0198243767223
Honduras,20.6288506487651
"Hong Kong SAR, China",
Hungary,15.9260481922424
Iceland,6.48114726265749
India,90.8732104688993
