country,age_65up,air_pollution,med_bed,physicians,nurses_midwives,pop_density,smoking,con_500_ind,death_100_ind,rate,confirmed_rate,ind_80,gov_resp
Afghanistan,2.58492693988024,56.9108083545081,0.5,0.284,0.32,56.937760009803,NA,0.5679012345679012,0.8888888888888888,0.024117751374357156,1.5169862919211052e-4,1,76.33
Albania,13.7447359109736,18.2006025215914,2.9,1.1998,3.5998,104.612262773723,28.7,0.5671641791044776,1,0.034521158129175944,3.132875798569343e-4,0.5294117647058824,88.36
Algeria,6.36249654497986,38.8840106983002,1.9,1.83,2.24,17.7300750711665,15.6,0.4125,0.475,0.08211735485873953,1.5255125877403585e-4,0.6544117647058824,84.54
Andorra,NA,10.3076213949548,2.5,3.3333,4.0128,163.842553191489,33.5,0.4594594594594595,1,0.06438896189224705,0.009882346830117133,1,61.77
Angola,2.21637364776329,32.3885049076425,0.8,0.2149,1.3123,24.7130520574316,NA,1,1,0.041666666666666664,1.557947769930842e-6,0.6962962962962963,93.38
Argentina,11.1177888760774,13.311833946835,5,3.96,2.58,16.2585100979651,21.8,0.3150684931506849,0.5753424657534246,0.04948135688253434,1.6033441614876374e-4,0.5808823529411765,100
Australia,15.6564752275591,8.55032440147794,3.8,3.5874,12.6612,3.24912948744283,14.7,0.37272727272727274,0.5454545454545454,0.013962102863655792,0.0022476364432842456,1,71.44
Austria,19.0015664595899,12.4779667308248,7.6,5.1441,8.1778,107.206926667578,29.6,0.2125,0.425,0.03898368414497447,0.001816408784052433,0.7941176470588235,84.79
Azerbaijan,6.19518275071493,19.9286636166698,4.7,3.4466,6.9621,120.265319946776,20.8,0.4533333333333333,1,0.012156998957971519,2.896436548019075e-4,0.6818181818181818,92.86
Bahrain,2.42633387832394,70.8162076823101,2,0.9257,2.4944,2017.27369979138,26.4,0.43209876543209874,1,0.0016134236850596966,0.0039491818414095735,0.6397058823529411,86.77
Bangladesh,5.15839063962068,60.8457845768598,0.8,0.5268,0.3067,1239.57931166936,23,0.5147058823529411,0.6323529411764706,0.015002915761013624,1.1690296884394887e-4,0.6176470588235294,94.58
Barbados,15.8026939621338,23.0801758047572,5.8,2.4886,6.0273,666.606976744186,7.8,1,1,0.08235294117647059,2.9653817841830026e-4,0.6838235294117647,90.47
Belgium,18.7887437383395,12.8865184713072,6.2,3.3234,11.1011,377.214927344782,28.2,0.37623762376237624,0.48514851485148514,0.1639957264957265,0.004748253690812136,0.5984848484848485,83.6
Benin,3.25360529746338,38.9999587632257,0.5,0.1572,0.6145,101.853919829727,6.4,1,1,0.0058997050147492625,2.951663763181486e-5,1,58.74
Bhutan,6.00301171280561,37.926503204094,1.7,0.3715,1.5094,19.7775277714448,NA,1,1,0,2.65113455303197e-5,0.6323529411764706,84.12
Bolivia,7.19194739218447,21.5689865956858,1.1,1.6111,0.7357,10.4801458506416,NA,0.6,0.8769230769230769,0.045077105575326216,2.9701029019103256e-4,0.15384615384615385,97.35
Bosnia and Herzegovina,16.4703174710621,27.7476689647337,3.5,2.0003,6.2998,64.92048828125,38.9,0.39436619718309857,0.9154929577464789,0.05500450856627592,6.672826044118271e-4,0.5808823529411765,91.4
Botswana,4.22387434629301,23.094386181065,1.8,0.3688,3.3004,3.97742487604327,20,1,1,0.041666666666666664,1.0647142173951235e-5,0.7132352941176471,87.04
Brazil,8.92283783244003,12.7066294740724,2.2,2.1499,9.7083,25.0617162430876,13.9,0.27848101265822783,0.3924050632911392,0.06890458494327271,9.699033127679841e-4,1,75.15
Brunei,4.87314756750582,5.90306546792381,2.7,1.7701,6.6012,81.396963946869107,16.9,1,1,0.0070921985815602835,3.2870044432840205e-4,1,60.71
Bulgaria,21.021914434268002,19.1491323370921,6.8,3.9879,5.3029,64.7035372144436,37,0.39705882352941174,1,0.047142857142857146,2.9893080990178413e-4,1,75.52
Burkina Faso,2.40698082866355,42.9355925055958,0.4,0.06,0.5696,72.1912828947368,12.5,0.5303030303030303,1,0.06597671410090557,3.913619878151242e-5,0.6212121212121212,88.75
Burundi,2.24694046033717,38.8962679482295,0.8,0.05,0.68,435.178271028037,NA,1,1,0.06666666666666667,1.3422364773701614e-6,1,19.44
Cabo Verde,4.60932715666821,34.778700101066804,2.1,0.7694,1.2272,134.929776674938,9.1,1,1,0.006349206349206349,5.792922336221212e-4,1,79.63
Cameroon,2.72887735524057,72.7930962237353,1.3,0.0898,0.9337,53.3439889149796,NA,0.4,0.8714285714285714,0.04705484089370345,1.1714674160145306e-4,1,76.32
Canada,17.2320066788651,6.42838313258525,2.7,2.6102,9.9056,4.07530821431988,14.3,0.35454545454545455,0.4727272727272727,0.07477835279014723,0.028251406958838453,1,76.73
Chad,2.48051894434901,66.0292054967769,0.4,0.0475,0.3637,12.2917336404066,NA,1,1,0.11528822055137844,2.577893907196207e-5,0.43103448275862066,89.03
Chile,11.5298016568816,21.0362990619754,2.2,1.08,0.86,25.1894460666519,37.8,0.2465753424657534,0.6027397260273972,0.009935205183585313,0.0019776647751420778,0.9453125,83.6
China,10.9208835350654,52.6645958291981,4.2,1.7855,2.3073,148.348833270666,25.6,0,0,0.055183329564793104,0.001991022667710181,1,75.42
Colombia,8.47804701986958,16.5272102219124,1.5,2.0835,1.2627,44.7487021180712,9,0.3,0.5285714285714286,0.03857457751653196,2.7412609216135333e-4,0.6176470588235294,93.38
"Congo, Dem. Rep.",3.01784062159803,44.9092635986842,0.8,0.09,0.47,37.0825923557045,NA,0.7692307692307693,1,0.040257648953301126,1.47737385876884e-5,0.7058823529411765,85.85
Costa Rica,9.54984767296984,15.7259203021082,1.2,1.1497,0.7957,97.9130630630631,11.9,0.4714285714285714,1,0.00963855421686747,1.6601856087510584e-4,0.9705882352941176,81.61
Cote d'Ivoire,2.85894301500285,25.8862663364222,0.4,0.2326,0.8517,78.8340534591195,NA,0.47692307692307695,1,0.0121765601217656,7.862228232068885e-5,0.6691176470588235,86.11
Croatia,20.445433012423,17.9017722884016,5.6,2.9962,8.1134,73.0771979985704,37,0.3875,1,0.042323277802791534,5.433183221566974e-4,0.6397058823529411,97.35
Cuba,15.1862114171521,19.7060474004201,5.2,8.19,7.79,108.999596231494,35.2,0.4375,1,0.04316939890710383,1.6140216321233698e-4,0.7867647058823529,100
Cyprus,13.7190617734483,17.2944061994662,3.4,1.9511,5.2517,128.708333333333,36.4,0.44776119402985076,1,0.018743109151047408,7.62655926139254e-4,0.6102941176470589,94.71
Czechia,19.4208768932343,16.0712453523646,6.5,4.314,8.4071,137.602887852888,34.3,0.24,0.52,0.03508561848880374,7.856120944563312e-4,0.875,83.07
Denmark,19.8129526369902,10.0296534385694,2.5,4.4567,10.3004,138.067301738509,19.1,0.15384615384615385,0.34615384615384615,0.049216387132251856,0.005649819905841513,0.625,84.12
Djibouti,4.52757937811482,45.5496175977411,1.4,0.2203,0.535,41.3684210526316,13.1,0.5,1,0.002336448598130841,0.0013390063821799524,0.6029411764705882,100
Dominica,NA,19.4931537608634,3.8,1.0825,5.8999,95.5,NA,1,1,0,2.2338568935427575e-4,0.6691176470588235,86.24
