country,age_1564,age_64up,age_0014,smok,air_polution,doctor,nurse_midwivies
Afghanistan,54.32489755,2.58492694,43.09017551,,56.91080835,0.2907,
Albania,68.58239036,13.74473591,17.67287372,28.7,18.20060252,,
Algeria,63.48882487,6.362496545,30.14867859,15.6,38.8840107,,
American Samoa,,,,,12.47382024,,
Andorra,,,,33.5,10.30762139,3.3333,4.0128
Angola,50.97470164,2.216373648,46.80892471,,32.38850491,,
Antigua and Barbuda,69.11908273,8.79982552,22.08109175,,18.62234285,,
Arab World,62.6616874,4.557876424,32.78043618,21.95585753,58.6892586,1.097302574,2.09223475
Argentina,64.12127729,11.11778888,24.76093384,21.8,13.31183395,,
Armenia,68.11276042,11.25381766,20.63342192,24.1,32.52811834,,
Aruba,68.64660589,13.55094714,17.80244697,,,,
Australia,65.15290773,15.65647523,19.19061704,14.7,8.550324401,3.5213,12.4667
Austria,66.70048591,19.00156646,14.29794763,29.6,12.47796673,5.0701,8.1758
Azerbaijan,70.43524739,6.195182751,23.36956986,20.8,19.92866362,,
"Bahamas, The",70.25752197,7.257602357,22.48487567,11.5,17.36772049,,
Bahrain,78.319356,2.426333878,19.25431012,26.4,70.81620768,0.9257,2.4944
Bangladesh,67.13558688,5.15839064,27.70602248,23,60.84578458,0.4709,0.2665
Barbados,66.85435789,15.80269396,17.34294815,7.8,23.0801758,,
Belarus,68.28890878,14.84514817,16.86594305,26.7,18.76557991,,
Belgium,64.1558335,18.78874374,17.05542276,28.2,12.88651847,3.0138,10.8193
Belize,64.98377585,4.736458777,30.27976537,,23.01189211,,
Benin,54.29871231,3.253605297,42.44768239,6.4,38.99995876,,
Bermuda,,,,,11.64635919,,
Bhutan,68.22563455,6.003011713,25.77135373,,37.9265032,0.3188,1.3589
Bolivia,61.73450486,7.191947392,31.07354775,,21.5689866,,
Bosnia and Herzegovina,68.76346488,16.47031747,14.76621765,38.9,27.74766896,,
Botswana,61.66317964,4.223874346,34.11294602,20,23.09438618,,
Brazil,69.74309026,8.922837832,21.33407191,13.9,12.70662947,,
British Virgin Islands,,,,,,,
Brunei Darussalam,72.10039094,4.873147568,23.02646149,16.9,5.903065468,1.7701,6.6012
Bulgaria,64.38262025,21.02191443,14.59546532,37,19.14913234,,
Burkina Faso,52.64493785,2.406980829,44.94808132,12.5,42.93559251,,0.24
Burundi,52.25137879,2.24694046,45.50168075,,38.89626795,,
Cabo Verde,66.6129059,4.609327157,28.77776695,9.1,34.7787001,0.7694,1.2272
Cambodia,64.22990522,4.568680018,31.20141476,17.2,25.61429187,,
Cameroon,54.6395428,2.728877355,42.63157984,,72.79309622,,
Canada,66.89774245,17.23200668,15.87025087,14.3,6.428383133,2.5388,9.8398
Caribbean small states,67.490417,8.796658749,23.71292425,,19.00983013,1.568627565,2.319977463
Cayman Islands,,,,,,,
Central African Republic,52.87990574,2.825773707,44.29432055,,56.82849738,0.0629,0.2039
Central Europe and the Baltics,66.40423937,18.4601185,15.13564214,30.3940435,17.63332812,2.880716069,6.538384862
Chad,50.39318107,2.480518944,47.12629999,,66.0292055,,
Channel Islands,67.51417897,17.29746216,15.18835888,,,,
Chile,68.71629587,11.52980166,19.75390247,37.8,21.03629906,,
China,71.20211371,10.92088354,17.87700275,25.6,52.66459583,1.7855,2.3073
Colombia,68.444057,8.47804702,23.07789598,9,16.52721022,1.9379,1.14
Comoros,57.45456686,3.007009306,39.53842383,14,20.5468246,,
"Congo, Dem. Rep.",50.81651729,3.017840622,46.16564209,,44.9092636,,
"Congo, Rep.",55.554778,2.681719539,41.76350246,26.9,46.63822028,,
Costa Rica,69.12540822,9.549847673,21.32474411,11.9,15.7259203,,
Cote d'Ivoire,55.20408485,2.858943015,41.93697214,,25.88626634,,
Croatia,65.04262698,20.44543301,14.51194001,37,17.90177229,,
Cuba,68.60254959,15.18621142,16.21123899,35.2,19.7060474,,
Curacao,64.43115906,16.68489481,18.88394613,,,,
Cyprus,69.49309027,13.71906177,16.78784796,36.4,17.2944062,,
Czech Republic,64.99251759,19.42087689,15.58660552,34.3,16.07124535,,8.3691
