country,year_nurses_midwives,nurses_midwives
Venezuela,2001,1.1223
Eritrea,2004,0.6492
Angola,2009,1.3123
"Micronesia, Fed. Sts.",2010,3.319
Isle of Man,2010,2.273
Lesotho,2010,0.6508
Namibia,2010,2.775
Papua New Guinea,2010,0.5125
Saint Vincent and the Grenadines,2010,2.5801
Cameroon,2011,0.9337
"Congo, Rep.",2011,1.7431
Comoros,2012,0.9214
Marshall Islands,2012,3.5484
"Congo, Dem. Rep.",2013,0.47
Costa Rica,2013,0.7957
Kazakhstan,2013,8.489
Kyrgyz Republic,2013,6.4299
Nigeria,2013,1.4524
Afghanistan,2014,0.32
Armenia,2014,5.6094
Azerbaijan,2014,6.9621
Bulgaria,2014,5.3029
Bosnia and Herzegovina,2014,6.2998
Belarus,2014,11.4383
Cote d'Ivoire,2014,0.8517
Djibouti,2014,0.535
Kenya,2014,1.5421
Cambodia,2014,0.9547
Laos,2014,0.9756
Saint Lucia,2014,1.5873
Monaco,2014,20.2625
Madagascar,2014,0.1059
Niger,2014,0.3109
Palau,2014,5.2607
Sierra Leone,2014,0.9962
San Marino,2014,8.7768
Somalia,2014,0.0611
Tajikistan,2014,5.233
Turkmenistan,2014,4.6306
Tuvalu,2014,3.7615
Tanzania,2014,0.4126
Ukraine,2014,7.0576
Uzbekistan,2014,12.0739
Samoa,2014,1.8565
Yemen,2014,0.73
Zimbabwe,2014,1.1546
Andorra,2015,4.0128
Arab World,2015,2.09223475000979
Bahrain,2015,2.4944
Brunei,2015,6.6012
Central African Republic,2015,0.2039
Central Europe and the Baltics,2015,6.53838486241968
China,2015,2.3073
Cabo Verde,2015,1.2272
Caribbean small states,2015,2.31997746305426
East Asia & Pacific (excluding high income),2015,2.15337868538584
Early-demographic dividend,2015,1.9290074393430101
East Asia & Pacific,2015,2.93411613799576
Europe & Central Asia (excluding high income),2015,7.02081905466534
Europe & Central Asia,2015,8.09339312103261
Euro area,2015,9.12632604036443
European Union,2015,8.62530121192726
Fragile and conflict affected situations,2015,1.02988340381416
Fiji,2015,2.938
Georgia,2015,4.0914
Gambia,2015,1.6292
Guinea-Bissau,2015,1.4
High income,2015,8.78813099011482
Heavily indebted poor countries (HIPC),2015,0.619161216244595
IBRD only,2015,2.8470624862975
IDA & IBRD total,2015,2.40869015676969
IDA total,2015,1.07627083829339
IDA blend,2015,1.73159096982212
IDA only,2015,0.735364967450567
Iran,2015,1.87
St. Kitts and Nevis,2015,3.9779
Kuwait,2015,6.9694
Latin America & Caribbean (excluding high income),2015,4.88992615451172
Liberia,2015,0.1007
Latin America & Caribbean,2015,4.72221191355169
Least developed countries: UN classification,2015,0.635153336323872
Low income,2015,0.860370587997423
Lower middle income,2015,1.8018207784066
Low & middle income,2015,2.4076816361681
Late-demographic dividend,2015,3.64389385351582
Moldova,2015,4.5113
Middle East & North Africa,2015,2.31524186548535
Middle income,2015,2.58887935488865
North Macedonia,2015,3.7917
Malta,2015,8.95
Middle East & North Africa (excluding high income),2015,1.75260367546105
Montenegro,2015,5.7179
Mauritius,2015,3.3831
Malaysia,2015,4.0718
North America,2015,8.68578191080113
Nauru,2015,6.1947
OECD members,2015,8.04468544656954
Other small states,2015,3.13962494403495
Pakistan,2015,0.5004
Philippines,2015,0.24
