country,value_1564,value_64up,value_0014
Arab World,62.6616873953689,4.55787642361103,32.780436181020065
Caribbean small states,67.4904170002725,8.79665874897365,23.712924250753844
Central Europe and the Baltics,66.4042393677876,18.4601184961471,15.1356421360653
Early-demographic dividend,65.2846235663376,5.8178056840413,28.897570749621096
East Asia & Pacific,69.4880949556083,10.7443580041224,19.767547040269292
East Asia & Pacific (excluding high income),70.0049497407552,9.49623787364322,20.498812385601582
East Asia & Pacific (IDA & IBRD countries),69.9992529215217,9.49824756454622,20.50249951393208
Euro area,64.3315954996938,20.6002875939103,15.0681169063959
Europe & Central Asia,65.6360525492978,16.3488906043948,18.015056846307402
Europe & Central Asia (excluding high income),66.9139360505531,12.0469773953365,21.039086554110398
Europe & Central Asia (IDA & IBRD countries),66.9400119353542,12.5755989186922,20.4843891459536
European Union,64.6888633261803,20.1631001653263,15.148036508493405
Fragile and conflict affected situations,55.6412072261515,3.382472467459,40.976320306389496
Heavily indebted poor countries (HIPC),54.1155308905095,3.02840923793326,42.85605987155724
High income,65.5444893771665,17.9320439329727,16.523466689860797
IBRD only,67.9349943423006,8.48378013902042,23.581225518678977
IDA & IBRD total,65.2922575171917,7.22482074084979,27.482921741958506
IDA blend,57.7572014724765,3.4988603827318,38.7439381447917
IDA only,57.5102192911601,3.58759259082614,38.90218811801376
IDA total,57.59400531792,3.55749115143391,38.84850353064609
Late-demographic dividend,70.2609934017877,10.7232529863456,19.0157536118667
Latin America & Caribbean,67.0080926456052,8.43830607177221,24.553601282622594
Latin America & Caribbean (excluding high income),66.9923932114571,8.24270282039559,24.76490396814731
Latin America & the Caribbean (IDA & IBRD countries),66.9915330457314,8.25620923692216,24.75225771734644
Least developed countries: UN classification,57.0263884122303,3.5402491059174,39.433362481852306
Low & middle income,65.2907552918608,7.15665123057303,27.552593477566163
Low income,54.8197262388979,3.29117165297115,41.88910210813095
Lower middle income,64.290849336516,5.52941547318043,30.17973519030356
Middle East & North Africa,64.9315764883162,5.18216135597133,29.886262155712473
Middle East & North Africa (excluding high income),63.5135193190367,5.37543637508798,31.11104430587531
Middle East & North Africa (IDA & IBRD countries),63.5810806657711,5.40251473043988,31.016404603789027
Middle income,66.5919908498999,7.63701466475014,25.77099448534996
North America,65.627220334532,15.9525773634698,18.420202301998202
Not classified,,,
OECD members,65.0544551715178,17.1186184107216,17.826926417760603
Other small states,64.5682994847169,5.49246578300642,29.939234732276674
Pacific island small states,60.4261278529707,4.53731737663538,35.03655477039392
Post-demographic dividend,64.9542444109945,18.9545169673224,16.09123862168309
Pre-demographic dividend,53.4943352593295,2.75381363776434,43.75185110290616
Small states,64.8505334681972,6.02956944874001,29.119897083062796
South Asia,65.7430919142796,5.84056048177619,28.416347603944203
South Asia (IDA & IBRD),65.7430919142796,5.84056048177619,28.416347603944203
Sub-Saharan Africa,54.4738820781197,2.98770560654484,42.53841231533546
Sub-Saharan Africa (excluding high income),54.4725990912016,2.98729217395572,42.540108734842676
Sub-Saharan Africa (IDA & IBRD countries),54.4738820781197,2.98770560654484,42.53841231533546
Upper middle income,69.2134044609211,10.0379487990588,20.748646740020106
World,65.3311815119975,8.87344224397751,25.795376244024993
Afghanistan,54.3248975483403,2.58492693988024,43.09017551177946
Albania,68.5823903647225,13.7447359109736,17.672873724303898
